JANEIRO,,,,,,FEVEREIRO,,,,,,MARÇO,,,,,,ABRIL,,,,,,MAIO,,,,,,JUNHO,,,,,,JULHO,,,,,,AGOSTO,,,,,,SETEMBRO,,,,,,OUTUBRO,,,,,,NOVEMBRO,,,,,,DEZEMBRO,,,,
Data,Entrada,Saída,Diário,Saldo,,Data,Entrada,Saída,Diário,Saldo,,Data,Entrada,Saída,Diário,Saldo,,Data,Entrada,Saída,Diário,Saldo,,Data,Entrada,Saída,Diário,Saldo,,Data,Entrada,Saída,Diário,Saldo,,Data,Entrada,Saída,Diário,Saldo,,Data,Entrada,Saída,Diário,Saldo,,Data,Entrada,Saída,Diário,Saldo,,Data,Entrada,Saída,Diário,Saldo,,Data,Entrada,Saída,Diário,Saldo,,Data,Entrada,Saída,Diário,Saldo
1,,"R$ 633,90","R$ 0,00","R$ 1.314,53",,1,,"R$ 903,36","R$ 640,53","R$ 2.594,28",,1,,"R$ 1.016,40","R$ 179,55","R$ 695,15",,1,,"R$ 1.353,13","R$ 40,00","R$ 498,54",,1,,"R$ 1.469,10","R$ 75,35","R$ 323,28",,1,,"R$ 1.045,17","R$ 20,00","R$ 2.127,07",,1,,"R$ 1.038,93","R$ 50,00","R$ 659,86",,1,,"R$ 1.008,06","R$ 22,00","R$ 2.184,02",,1,,"R$ 998,06","R$ 22,00","R$ 2.075,11",,1,,"R$ 998,06","R$ 22,00","R$ 1.966,20",,1,,"R$ 998,06","R$ 22,00","R$ 2.290,29",,1,,"R$ 998,06","R$ 22,00","R$ 2.314,38"
2,,"R$ 37,63","R$ 169,90","R$ 1.107,00",,2,,"R$ 1.500,00","R$ 270,00","R$ 824,28",,2,"R$ 548,40","R$ 714,37","R$ 403,14","R$ 126,04",,2,,,"R$ 5,00","R$ 493,54",,2,"R$ 370,58",,"R$ 279,01","R$ 414,85",,2,,,"R$ 0,00","R$ 2.127,07",,2,,,"R$ 2,00","R$ 657,86",,2,,,"R$ 22,00","R$ 2.162,02",,2,,,"R$ 22,00","R$ 2.053,11",,2,,,"R$ 22,00","R$ 1.944,20",,2,,,"R$ 22,00","R$ 2.268,29",,2,,,"R$ 22,00","R$ 2.292,38"
3,"R$ 164,69",,"R$ 48,40","R$ 1.223,29",,3,,,"R$ 0,00","R$ 824,28",,3,,,"R$ 29,50","R$ 96,54",,3,"R$ 826,18",,"R$ 0,00","R$ 1.319,72",,3,,,"R$ 8,00","R$ 406,85",,3,,,"R$ 18,88","R$ 2.108,19",,3,,,"R$ 10,00","R$ 647,86",,3,,,"R$ 22,00","R$ 2.140,02",,3,,,"R$ 22,00","R$ 2.031,11",,3,,,"R$ 22,00","R$ 1.922,20",,3,,,"R$ 22,00","R$ 2.246,29",,3,,,"R$ 22,00","R$ 2.270,38"
4,"R$ 500,00","R$ 212,81","R$ 27,96","R$ 1.482,52",,4,,,"R$ 0,00","R$ 824,28",,4,,,"R$ 0,00","R$ 96,54",,4,,,"R$ 0,00","R$ 1.319,72",,4,"R$ 50,00",,"R$ 330,89","R$ 125,96",,4,,,"R$ 0,00","R$ 2.108,19",,4,,,"R$ 0,00","R$ 647,86",,4,,,"R$ 22,00","R$ 2.118,02",,4,,,"R$ 22,00","R$ 2.009,11",,4,,,"R$ 22,00","R$ 1.900,20",,4,,,"R$ 22,00","R$ 2.224,29",,4,,,"R$ 22,00","R$ 2.248,38"
5,"R$ 548,40","R$ 1.423,04","R$ 520,05","R$ 87,83",,5,"R$ 548,40","R$ 663,04","R$ 0,00","R$ 709,64",,5,"R$ 467,06","R$ 150,00","R$ 0,00","R$ 413,60",,5,"R$ 548,40","R$ 929,47","R$ 205,41","R$ 733,24",,5,"R$ 2.332,52","R$ 1.777,06","R$ 15,00","R$ 666,42",,5,"R$ 1.496,10","R$ 2.200,34","R$ 29,40","R$ 1.374,55",,5,"R$ 300,00","R$ 577,48","R$ 92,69","R$ 277,69",,5,,"R$ 383,87","R$ 22,00","R$ 1.712,15",,5,,"R$ 383,87","R$ 22,00","R$ 1.603,24",,5,,"R$ 383,87","R$ 22,00","R$ 1.494,33",,5,,"R$ 383,87","R$ 22,00","R$ 1.818,42",,5,,"R$ 383,87","R$ 22,00","R$ 1.842,51"
6,"R$ 19,93",,"R$ 0,00","R$ 107,76",,6,"R$ 400,50",,"R$ 0,00","R$ 1.110,14",,6,,,"R$ 0,00","R$ 413,60",,6,"R$ 2.525,00",,"R$ 302,69","R$ 2.955,55",,6,,,"R$ 0,00","R$ 666,42",,6,,,"R$ 24,92","R$ 1.349,63",,6,,,"R$ 49,98","R$ 227,71",,6,,,"R$ 22,00","R$ 1.690,15",,6,,,"R$ 22,00","R$ 1.581,24",,6,,,"R$ 22,00","R$ 1.472,33",,6,,,"R$ 22,00","R$ 1.796,42",,6,,,"R$ 22,00","R$ 1.820,51"
7,,,"R$ 0,00","R$ 107,76",,7,"R$ 0,01",,"R$ 100,00","R$ 1.010,15",,7,,,"R$ 0,00","R$ 413,60",,7,,,"R$ 18,29","R$ 2.937,26",,7,"R$ 1.034,43",,"R$ 0,00","R$ 1.700,85",,7,,,"R$ 278,10","R$ 1.071,53",,7,,,"R$ 0,00","R$ 227,71",,7,,,"R$ 22,00","R$ 1.668,15",,7,,,"R$ 22,00","R$ 1.559,24",,7,,,"R$ 22,00","R$ 1.450,33",,7,,,"R$ 22,00","R$ 1.774,42",,7,,,"R$ 22,00","R$ 1.798,51"
8,,,"R$ 0,00","R$ 107,76",,8,,,"R$ 0,00","R$ 1.010,15",,8,,,"R$ 289,80","R$ 123,80",,8,"R$ 30,05",,"R$ 24,00","R$ 2.943,31",,8,,,"R$ 0,00","R$ 1.700,85",,8,,,"R$ 70,00","R$ 1.001,53",,8,"R$ 224,99",,"R$ 5,00","R$ 447,70",,8,,,"R$ 22,00","R$ 1.646,15",,8,,,"R$ 22,00","R$ 1.537,24",,8,,,"R$ 22,00","R$ 1.428,33",,8,,,"R$ 22,00","R$ 1.752,42",,8,,,"R$ 22,00","R$ 1.776,51"
9,,,"R$ 0,00","R$ 107,76",,9,,,"R$ 0,00","R$ 1.010,15",,9,,,"R$ 0,00","R$ 123,80",,9,,"R$ 2.550,00","R$ 0,00","R$ 393,31",,9,,,"R$ 54,90","R$ 1.645,95",,9,,,"R$ 0,00","R$ 1.001,53",,9,,,"R$ 0,00","R$ 447,70",,9,,,"R$ 22,00","R$ 1.624,15",,9,,,"R$ 22,00","R$ 1.515,24",,9,,,"R$ 22,00","R$ 1.406,33",,9,,,"R$ 22,00","R$ 1.730,42",,9,,,"R$ 22,00","R$ 1.754,51"
10,,,"R$ 0,00","R$ 107,76",,10,,,"R$ 136,63","R$ 873,52",,10,"R$ 320,51","R$ 250,00","R$ 4,00","R$ 190,31",,10,,,"R$ 0,00","R$ 393,31",,10,,,"R$ 0,00","R$ 1.645,95",,10,"R$ 44,39",,"R$ 0,00","R$ 1.045,92",,10,,,"R$ 96,80","R$ 350,90",,10,,,"R$ 22,00","R$ 1.602,15",,10,,,"R$ 22,00","R$ 1.493,24",,10,,,"R$ 22,00","R$ 1.384,33",,10,,,"R$ 22,00","R$ 1.708,42",,10,,,"R$ 22,00","R$ 1.732,51"
11,,,"R$ 0,00","R$ 107,76",,11,"R$ 0,01",,"R$ 100,00","R$ 773,53",,11,,,"R$ 0,00","R$ 190,31",,11,,,"R$ 133,98","R$ 259,33",,11,,,"R$ 361,23","R$ 1.284,72",,11,,,"R$ 0,00","R$ 1.045,92",,11,,,"R$ 0,00","R$ 350,90",,11,,,"R$ 22,00","R$ 1.580,15",,11,,,"R$ 22,00","R$ 1.471,24",,11,,,"R$ 22,00","R$ 1.362,33",,11,,,"R$ 22,00","R$ 1.686,42",,11,,,"R$ 22,00","R$ 1.710,51"
12,,,"R$ 0,00","R$ 107,76",,12,,"R$ 400,00","R$ 100,00","R$ 273,53",,12,,,"R$ 0,00","R$ 190,31",,12,,,"R$ 148,56","R$ 110,77",,12,,,"R$ 0,00","R$ 1.284,72",,12,,,"R$ 152,00","R$ 893,92",,12,,,"R$ 49,86","R$ 301,04",,12,,,"R$ 22,00","R$ 1.558,15",,12,,,"R$ 22,00","R$ 1.449,24",,12,,,"R$ 22,00","R$ 1.340,33",,12,,,"R$ 22,00","R$ 1.664,42",,12,,,"R$ 22,00","R$ 1.688,51"
13,,,"R$ 0,00","R$ 107,76",,13,,,"R$ 0,00","R$ 273,53",,13,"R$ 300,00","R$ 300,00","R$ 42,75","R$ 147,56",,13,,,"R$ 65,00","R$ 45,77",,13,,,"R$ 0,00","R$ 1.284,72",,13,"R$ 1.665,10",,"R$ 3,43","R$ 2.555,59",,13,,,"R$ 0,00","R$ 301,04",,13,,,"R$ 22,00","R$ 1.536,15",,13,,,"R$ 22,00","R$ 1.427,24",,13,,,"R$ 22,00","R$ 1.318,33",,13,,,"R$ 22,00","R$ 1.642,42",,13,,,"R$ 22,00","R$ 1.666,51"
14,,,"R$ 0,00","R$ 107,76",,14,,,"R$ 0,00","R$ 273,53",,14,,,"R$ 0,00","R$ 147,56",,14,,,"R$ 0,00","R$ 45,77",,14,,,"R$ 39,00","R$ 1.245,72",,14,,,"R$ 306,18","R$ 2.249,41",,14,,,"R$ 0,00","R$ 301,04",,14,,,"R$ 22,00","R$ 1.514,15",,14,,,"R$ 22,00","R$ 1.405,24",,14,,,"R$ 22,00","R$ 1.296,33",,14,,,"R$ 22,00","R$ 1.620,42",,14,,,"R$ 22,00","R$ 1.644,51"
15,"R$ 1.665,10","R$ 648,76","R$ 48,00","R$ 1.076,10",,15,"R$ 1.665,10","R$ 649,87","R$ 49,25","R$ 1.239,51",,15,"R$ 1.665,10","R$ 650,59","R$ 0,00","R$ 1.162,07",,15,"R$ 1.665,10","R$ 651,34","R$ 0,00","R$ 1.059,53",,15,"R$ 1.665,10","R$ 652,43","R$ 14,00","R$ 2.244,39",,15,,"R$ 635,50","R$ 100,00","R$ 1.513,91",,15,"R$ 1.665,10","R$ 1.052,37","R$ 0,00","R$ 913,77",,15,"R$ 1.665,10","R$ 647,90","R$ 22,00","R$ 2.509,35",,15,"R$ 1.665,10","R$ 647,90","R$ 22,00","R$ 2.400,44",,15,"R$ 1.665,10","R$ 647,90","R$ 22,00","R$ 2.291,53",,15,"R$ 1.665,10","R$ 647,90","R$ 22,00","R$ 2.615,62",,15,"R$ 1.665,10","R$ 647,90","R$ 22,00","R$ 2.639,71"
16,,,"R$ 0,00","R$ 1.076,10",,16,,,"R$ 94,70","R$ 1.144,81",,16,,"R$ 80,90","R$ 0,00","R$ 1.081,17",,16,,,"R$ 0,00","R$ 1.059,53",,16,,"R$ 700,00","R$ 0,00","R$ 1.544,39",,16,,"R$ 700,00","R$ 0,00","R$ 813,91",,16,,"R$ 0,00","R$ 0,00","R$ 913,77",,16,,"R$ 400,00","R$ 22,00","R$ 2.087,35",,16,,"R$ 400,00","R$ 22,00","R$ 1.978,44",,16,,"R$ 400,00","R$ 22,00","R$ 1.869,53",,16,,"R$ 700,00","R$ 22,00","R$ 1.893,62",,16,,"R$ 700,00","R$ 22,00","R$ 1.917,71"
17,,,"R$ 0,00","R$ 1.076,10",,17,,,"R$ 172,00","R$ 972,81",,17,,"R$ 800,00","R$ 58,00","R$ 223,17",,17,,,"R$ 0,00","R$ 1.059,53",,17,"R$ 0,00",,"R$ 61,00","R$ 1.483,39",,17,,,"R$ 0,00","R$ 813,91",,17,,,"R$ 18,27","R$ 895,50",,17,,,"R$ 22,00","R$ 2.065,35",,17,,,"R$ 22,00","R$ 1.956,44",,17,,,"R$ 22,00","R$ 1.847,53",,17,,,"R$ 22,00","R$ 1.871,62",,17,,,"R$ 22,00","R$ 1.895,71"
18,,,"R$ 12,00","R$ 1.064,10",,18,,,"R$ 118,37","R$ 854,44",,18,"R$ 400,00","R$ 400,00","R$ 0,00","R$ 223,17",,18,,,"R$ 0,00","R$ 1.059,53",,18,,,"R$ 14,00","R$ 1.469,39",,18,,,"R$ 60,11","R$ 753,80",,18,,,"R$ 18,27","R$ 877,23",,18,,,"R$ 22,00","R$ 2.043,35",,18,,,"R$ 22,00","R$ 1.934,44",,18,,,"R$ 22,00","R$ 1.825,53",,18,,,"R$ 22,00","R$ 1.849,62",,18,,,"R$ 22,00","R$ 1.873,71"
19,,,"R$ 272,49","R$ 791,61",,19,,,"R$ 0,00","R$ 854,44",,19,,,"R$ 0,00","R$ 223,17",,19,"R$ 228,90","R$ 80,90","R$ 325,87","R$ 881,66",,19,,,"R$ 50,00","R$ 1.419,39",,19,,,"R$ 100,86","R$ 652,94",,19,,,"R$ 18,27","R$ 858,96",,19,,,"R$ 22,00","R$ 2.021,35",,19,,,"R$ 22,00","R$ 1.912,44",,19,,,"R$ 22,00","R$ 1.803,53",,19,,,"R$ 22,00","R$ 1.827,62",,19,,,"R$ 22,00","R$ 1.851,71"
20,,,"R$ 202,22","R$ 589,39",,20,,"R$ 80,87","R$ 24,00","R$ 749,57",,20,,,"R$ 32,00","R$ 191,17",,20,,,"R$ 0,00","R$ 881,66",,20,,,"R$ 0,00","R$ 1.419,39",,20,,,"R$ 31,19","R$ 621,75",,20,,,"R$ 18,27","R$ 840,69",,20,,,"R$ 22,00","R$ 1.999,35",,20,,,"R$ 22,00","R$ 1.890,44",,20,,,"R$ 22,00","R$ 1.781,53",,20,,,"R$ 22,00","R$ 1.805,62",,20,,,"R$ 22,00","R$ 1.829,71"
21,,"R$ 76,35","R$ 0,00","R$ 513,04",,21,,,"R$ 0,00","R$ 749,57",,21,,,"R$ 0,00","R$ 191,17",,21,,,"R$ 110,66","R$ 771,00",,21,"R$ 839,22","R$ 80,90","R$ 0,00","R$ 2.177,71",,21,,"R$ 106,17","R$ 29,18","R$ 486,40",,21,,"R$ 80,90","R$ 0,00","R$ 759,79",,21,,"R$ 80,90","R$ 22,00","R$ 1.896,45",,21,,"R$ 80,90","R$ 22,00","R$ 1.787,54",,21,,"R$ 80,90","R$ 22,00","R$ 1.678,63",,21,,"R$ 80,90","R$ 22,00","R$ 1.702,72",,21,,"R$ 80,90","R$ 22,00","R$ 1.726,81"
22,,,"R$ 10,40","R$ 502,64",,22,,,"R$ 0,00","R$ 749,57",,22,,,"R$ 0,00","R$ 191,17",,22,"R$ 260,00",,"R$ 3,06","R$ 1.027,94",,22,,,"R$ 84,00","R$ 2.093,71",,22,,,"R$ 246,73","R$ 239,67",,22,,,"R$ 18,27","R$ 741,52",,22,,,"R$ 22,00","R$ 1.874,45",,22,,,"R$ 22,00","R$ 1.765,54",,22,,,"R$ 22,00","R$ 1.656,63",,22,,,"R$ 22,00","R$ 1.680,72",,22,,,"R$ 22,00","R$ 1.704,81"
23,,,"R$ 10,38","R$ 492,26",,23,,"R$ 600,00","R$ 0,00","R$ 149,57",,23,,,"R$ 14,00","R$ 177,17",,23,,,"R$ 0,00","R$ 1.027,94",,23,,,"R$ 374,70","R$ 1.719,01",,23,,,"R$ 0,00","R$ 239,67",,23,,,"R$ 18,27","R$ 723,25",,23,,,"R$ 22,00","R$ 1.852,45",,23,,,"R$ 22,00","R$ 1.743,54",,23,,,"R$ 22,00","R$ 1.634,63",,23,,,"R$ 22,00","R$ 1.658,72",,23,,,"R$ 22,00","R$ 1.682,81"
24,,,"R$ 10,39","R$ 481,87",,24,,,"R$ 0,00","R$ 149,57",,24,,,"R$ 0,00","R$ 177,17",,24,,,"R$ 0,00","R$ 1.027,94",,24,,,"R$ 49,90","R$ 1.669,11",,24,,,"R$ 35,50","R$ 204,17",,24,,,"R$ 18,27","R$ 704,98",,24,,,"R$ 22,00","R$ 1.830,45",,24,,,"R$ 22,00","R$ 1.721,54",,24,,,"R$ 22,00","R$ 1.612,63",,24,,,"R$ 22,00","R$ 1.636,72",,24,,,"R$ 22,00","R$ 1.660,81"
25,,,"R$ 144,20","R$ 337,67",,25,,,"R$ 17,40","R$ 132,17",,25,,,"R$ 0,00","R$ 177,17",,25,,,"R$ 13,09","R$ 1.014,85",,25,,,"R$ 0,00","R$ 1.669,11",,25,"R$ 269,98",,"R$ 0,00","R$ 474,15",,25,,,"R$ 18,27","R$ 686,71",,25,,,"R$ 22,00","R$ 1.808,45",,25,,,"R$ 22,00","R$ 1.699,54",,25,,,"R$ 22,00","R$ 1.590,63",,25,,,"R$ 22,00","R$ 1.614,72",,25,,,"R$ 22,00","R$ 1.638,81"
26,,,"R$ 216,30","R$ 121,37",,26,,,"R$ 0,00","R$ 132,17",,26,,,"R$ 0,00","R$ 177,17",,26,,"R$ 700,00","R$ 197,94","R$ 116,91",,26,,,"R$ 201,43","R$ 1.467,68",,26,,,"R$ 0,00","R$ 474,15",,26,,,"R$ 18,27","R$ 668,44",,26,,,"R$ 22,00","R$ 1.786,45",,26,,,"R$ 22,00","R$ 1.677,54",,26,,,"R$ 22,00","R$ 1.568,63",,26,,,"R$ 22,00","R$ 1.592,72",,26,,,"R$ 22,00","R$ 1.616,81"
27,,,"R$ 40,40","R$ 80,97",,27,"R$ 350,00","R$ 350,00","R$ 20,00","R$ 112,17",,27,,,"R$ 0,00","R$ 177,17",,27,,,"R$ 0,00","R$ 116,91",,27,,,"R$ 5,00","R$ 1.462,68",,27,,,"R$ 141,98","R$ 332,17",,27,,,"R$ 18,27","R$ 650,17",,27,,,"R$ 22,00","R$ 1.764,45",,27,,,"R$ 22,00","R$ 1.655,54",,27,,,"R$ 22,00","R$ 1.546,63",,27,,,"R$ 22,00","R$ 1.570,72",,27,,,"R$ 22,00","R$ 1.594,81"
28,,,"R$ 10,40","R$ 70,57",,28,"R$ 1.851,72",,"R$ 72,79","R$ 1.891,10",,28,,,"R$ 0,00","R$ 177,17",,28,,,"R$ 0,00","R$ 116,91",,28,,,"R$ 0,00","R$ 1.462,68",,28,"R$ 1.856,52",,"R$ 0,00","R$ 2.188,69",,28,,,"R$ 18,27","R$ 631,90",,28,,,"R$ 22,00","R$ 1.742,45",,28,,,"R$ 22,00","R$ 1.633,54",,28,,,"R$ 22,00","R$ 1.524,63",,28,,,"R$ 22,00","R$ 1.548,72",,28,,,"R$ 22,00","R$ 1.572,81"
29,,,"R$ 10,40","R$ 60,17",,,,,,,,29,,,"R$ 140,72","R$ 36,45",,29,,,"R$ 0,00","R$ 116,91",,29,,,"R$ 1,49","R$ 1.461,19",,29,,,"R$ 93,00","R$ 2.095,69",,29,,,"R$ 18,27","R$ 613,63",,29,,,"R$ 22,00","R$ 1.720,45",,29,,,"R$ 22,00","R$ 1.611,54",,29,,,"R$ 22,00","R$ 1.502,63",,29,,,"R$ 22,00","R$ 1.526,72",,29,,,"R$ 22,00","R$ 1.550,81"
